województwo,Blue,Red,Gray
DOLNOŚLĄSKIE,292867.0,136806.0,88833.0
KUJAWSKO-POMORSKIE,229264.0,62160.0,51137.0
LUBELSKIE,399285.0,56891.0,51388.0
LUBUSKIE,87989.0,30622.0,32592.0
MAZOWIECKIE,777222.0,255252.0,166919.0
MAŁOPOLSKIE,465737.0,187768.0,132698.0
OPOLSKIE,87188.0,37203.0,65757.0
PODKARPACKIE,350822.0,58693.0,87850.0
PODLASKIE,184104.0,33478.0,29324.0
POMORSKIE,235172.0,189417.0,56839.0
WARMIŃSKO-MAZURSKIE,143743.0,46911.0,32163.0
WIELKOPOLSKIE,395029.0,150489.0,91697.0
ZACHODNIOPOMORSKIE,167313.0,63505.0,45638.0
ŁÓDZKIE,349691.0,87576.0,70698.0
ŚLĄSKIE,416463.0,223419.0,232778.0
ŚWIĘTOKRZYSKIE,176329.0,30909.0,29782.0
